FREQUENCY_RATE,<class '__main__.MovingAverage'>_VALUE,<class '__main__.MovingAverage'>_SPEED,<class '__main__.MovingAverage'>_ACC,<class '__main__.MovingAverage'>_WEIGHT,<class '__main__.MovingAverage'>_PARAMETER,<class '__main__.MAMA'>_VALUE,<class '__main__.MAMA'>_SPEED,<class '__main__.MAMA'>_ACC,<class '__main__.MAMA'>_WEIGHT,<class '__main__.MAMA'>_PARAMETER,<class '__main__.FAMA'>_VALUE,<class '__main__.FAMA'>_SPEED,<class '__main__.FAMA'>_ACC,<class '__main__.FAMA'>_WEIGHT,<class '__main__.FAMA'>_PARAMETER,<class '__main__.TRIMA'>_VALUE,<class '__main__.TRIMA'>_SPEED,<class '__main__.TRIMA'>_ACC,<class '__main__.TRIMA'>_WEIGHT,<class '__main__.TRIMA'>_PARAMETER,<class '__main__.EMA'>_VALUE,<class '__main__.EMA'>_SPEED,<class '__main__.EMA'>_ACC,<class '__main__.EMA'>_WEIGHT,<class '__main__.EMA'>_PARAMETER,<class '__main__.ATR'>_VALUE,<class '__main__.ATR'>_SPEED,<class '__main__.ATR'>_ACC,<class '__main__.ATR'>_WEIGHT,<class '__main__.ATR'>_PARAMETER,<class '__main__.RSI'>_VALUE,<class '__main__.RSI'>_SPEED,<class '__main__.RSI'>_ACC,<class '__main__.RSI'>_WEIGHT,<class '__main__.RSI'>_PARAMETER,<class '__main__.MACD'>_VALUE,<class '__main__.MACD'>_SPEED,<class '__main__.MACD'>_ACC,<class '__main__.MACD'>_WEIGHT,<class '__main__.MACD'>_PARAMETER,<class '__main__.MINUS_DI'>_VALUE,<class '__main__.MINUS_DI'>_SPEED,<class '__main__.MINUS_DI'>_ACC,<class '__main__.MINUS_DI'>_WEIGHT,<class '__main__.MINUS_DI'>_PARAMETER,<class '__main__.PLUS_DI'>_VALUE,<class '__main__.PLUS_DI'>_SPEED,<class '__main__.PLUS_DI'>_ACC,<class '__main__.PLUS_DI'>_WEIGHT,<class '__main__.PLUS_DI'>_PARAMETER,<class '__main__.ADX'>_VALUE,<class '__main__.ADX'>_SPEED,<class '__main__.ADX'>_ACC,<class '__main__.ADX'>_WEIGHT,<class '__main__.ADX'>_PARAMETER,<class '__main__.VOLUME'>_VALUE,<class '__main__.VOLUME'>_SPEED,<class '__main__.VOLUME'>_ACC,<class '__main__.VOLUME'>_WEIGHT,<class '__main__.VOLUME'>_PARAMETER,<class '__main__.SAR'>_VALUE,<class '__main__.SAR'>_SPEED,<class '__main__.SAR'>_ACC,<class '__main__.SAR'>_WEIGHT,<class '__main__.SAR'>_PARAMETER,MT_HA_WEIGHT,MT_BOILINGER_WEIGHT,MT_EXPLORE_TARGET,MT_BOILINGER_PERIOD,MT_SAR_ACC,MT_EXPLORE_SAMPLES,MT_INDICATORS_DEPTH,MT_WINDOW,MT_CONFL_DEPTH,MT_CONFL_TRESH,MT_SET_IGNORE,MT_SLTP_REV,MT_SLTP_MODE,MT_SATE_MACHINE_CONF,MT_ADX_THRESH,MT_VOL_THRESH,MT_SNR_WEIGHT,MT_ATR_THRESH,MT_NUM_SNR,MT_VSNR_SENSE,MT_SNR_SENSE,MT_THRESH_LIM,CLOSED
-305.99999999999994,132.83856875000015,-0.0015625000000056843,-0.0001812499999971351,1.5,30,132.9300894716101,-0.12208947161010997,-0.10132125948848625,0.25,30,133.04743416420763,-0.039114897532499526,-0.03751129371244133,0.25,30,130.36436719207376,0.0022054481707414197,-0.00039573475606857755,0.5,30,130.38374987386754,-0.011138967890644835,-0.00299697600561899,0.5,30,0.06056545406841278,-0.0002318939195169109,-0.0034486710866867276,0.25,30,32.21131323570612,-1.5972939034239033,5.458936713578979,0.5,30,-0.039767745127546675,-0.008322860507850027,0.004086768315116559,1.5,30,36.85905625402232,0.4218373061983698,-6.654860457306121,0.25,30,13.246640209306971,-0.9709387429470056,1.9570521986343472,0.25,30,48.85923047795526,4.1194304556577634,-0.3248324231711379,1,30,2273.0,-468.0,-938.0,0.5,30,133.151619968,-0.021167232000010472,-0.011634432000022343,1,30,1.75,2,10,16,0.3155753570084224,34,6,0,4,0.7,False,False,SNR,1,10,2596,1,500,2,200,150,0.6179516378709375,0.46599999999997976
14.000000000000002,132.39234999999994,-0.009768750000006321,0.0003187499999910415,1.5,30,131.70932721481861,-0.006327214818611537,-0.0016727851813982397,0.25,30,131.75841335521338,-0.01636204679826392,0.0033449439932269343,1,30,129.4758814492753,-0.007162166666660141,-0.000254586956515368,0.5,30,129.19859212942455,-0.006460365611502539,0.001323864903156391,0.5,30,0.07660613958256025,-0.003160613958254427,-0.0023839386041732274,0.5,30,42.50427732517985,-0.3257396648343729,-2.784469522337268,1.5,30,0.014490437509660281,-2.352941943581377e-05,-0.0009747989336939267,0.5,30,23.731291381730284,-1.3387884861477026,-0.09095763976316107,0.25,30,15.533554930180784,0.07273792997743911,0.8660608388065256,0.25,30,26.891946145609193,-0.49287134261079757,-0.19748808519964456,0.25,30,3669.0,286.0,-770.0,0.5,30,131.58711471200002,0.0036303120000127365,-7.408799999097937e-05,0.25,30,1.75,1,14,16,0.3608587688151773,26,3,200,5,0.5,False,False,SNR,1,10,1356,1,711,1,100,125,0.46920490668321546,-0.09999999999999432
55.00000000000001,132.62085624999992,-0.0006812499999853117,-0.00048124999997867235,1.5,30,132.67681107563044,-0.010358477664766497,0.0223733327039497,1,30,132.8117983889533,-0.003461213162125887,0.007151107330543027,1.5,30,130.15119060060974,0.0047004146341578235,-0.0004956768292458946,1.5,30,130.10073886518055,-0.012770454624643435,-0.0015940792500259704,0.5,30,0.09830073383262085,0.0003916055139489977,-0.0014493004594953868,0.25,30,32.25592371277122,-1.1309699807723277,3.3176128277753705,1,30,-0.027682796379022642,-0.0014686286071785778,0.0012060998167219839,1,30,26.30787508060603,-0.9094129528864165,2.663716397004393,1.5,30,12.69775176963278,-0.7869646776453667,0.20319732929019274,1.5,30,32.24206611314694,2.0456161285622763,0.05879964149203687,1.5,30,2436.0,-48.0,-45.0,0.25,30,132.68171999999998,-0.04428000000001475,-0.04063575543298725,1.5,30,1.75,1.5,8,8,0.3608587688151773,30,4,120,3,0.8,True,False,SNR,1,9,763,1,2807,1,125,150,0.442392168568126,0.38399999999998613
-185.0,132.72533125,-0.0018125000000281943,-0.00032500000006052687,0.25,30,132.6089438673245,0.00010821750922218598,-0.002056132675477329,1.5,30,132.61945052985638,-0.00026940160336152985,0.003358692278112585,0.25,30,130.09657233231852,-0.0006989969512289917,-0.00036406402441002683,1.5,30,130.00581225077224,-0.0023742179883186054,-0.0001546554877620565,0.5,30,0.05733527819838071,-0.002158822771351439,-0.00023053224898214597,0.25,30,45.9405659859724,-7.105427357601002e-15,0.8044668927531688,0.5,30,0.009586596233168501,-0.000524997200395172,-1.5044661891040756e-05,1,30,24.20534801078724,0.06814576281967888,0.3460560308289864,1.5,30,16.692753685795257,-0.11925436802246736,-0.16601896526293203,1.5,30,31.796587241731018,-0.7558643565952892,0.24880085827415854,1.5,30,997.0,-370.0,-194.0,0.25,30,132.5558628851712,0.0038390464511905975,-0.00015996026880316094,0.5,30,1.75,1,8,8,0.5326715019425226,30,4,160,3,0.5,True,False,SNR,1,9,763,1,2807,1,125,100,0.2872303414850451,0.03100000000000591
-305.99999999999994,132.71653125000003,-0.001949999999993679,-0.00010000000000331966,0.25,30,132.6132621624389,-0.00011906118101023822,-0.008737837561113793,1.5,30,132.61703588605272,-9.676214395426541e-05,0.0011537127149381377,0.25,30,130.0877490457333,-0.002341094512161135,-0.0002382774389957376,1.5,30,129.99209374731632,-0.0014696793495545535,0.000665880992272605,0.5,30,0.05559741615724465,-0.0007427341027263154,-0.0011074888522525292,0.25,30,47.33785349204751,-1.3037888515795686,-7.52064284806962,0.5,30,0.006683431090617746,0.00046856133608938477,-0.0015270517078776157,1,30,23.494119517933783,-0.6148539769375567,0.3981136657209099,1.5,30,17.823820302852344,-0.4459814544089262,-3.1631788583995633,1.5,30,28.773792341229026,-2.4301454466513697,0.24301454466514372,1.5,30,1356.0,-451.0,-974.0,0.25,30,132.64085787072003,-0.0017317932799869595,3.53427200252554e-05,0.5,30,1.75,1,8,8,0.5326715019425226,30,4,160,3,0.5,True,False,SNR,1,9,763,1,2807,1,125,100,0.2872303414850451,0.04200000000003001
-1296.0,132.64031874999998,-0.00021250000000350155,-0.00014999999999076863,0.25,30,132.59659462069038,0.0005476515426039441,0.0013395972872274342,1.5,30,132.52158807487558,0.001923244764498122,-3.527162104433046e-05,0.25,30,129.8766234329266,-0.0021101371951033343,0.00017314329272721807,1.5,30,129.89264428820715,0.002248241630411485,-0.0012837559810350285,0.5,30,0.05961035713572609,6.617346972766225e-05,-0.0005745796890346752,0.25,30,56.9040624210854,2.627031406516309,10.714579304410137,0.5,30,0.005149378636242902,-0.002523704593157934,0.0030725542144975533,1,30,19.664325504181804,0.6897173295369079,-1.9713199365508203,1.5,30,23.001579213451677,-0.8427294061502053,0.20989922068589095,1.5,30,30.820831229007716,-1.6623429970945907,-0.9291501488547809,1.5,30,1466.0,-549.0,-577.0,0.25,30,132.687,0.1430992216045297,0.1198039994828548,0.5,30,1.75,1,8,8,0.5326715019425226,30,4,160,3,0.5,True,False,SNR,1,9,763,1,2807,1,125,100,0.2872303414850451,0.07499999999998863
-185.0,132.62896875000007,-0.001224999999976717,-0.00034374999995634425,0.25,30,132.5715436228834,-2.8611730726879614e-05,0.023543622883408943,1.5,30,132.6175628637365,-0.0011799805346868197,0.014543556017684978,0.25,30,129.92787414634043,0.0035314359756171143,-9.142682924334622e-05,1.5,30,129.96137953888092,-0.0027340789169727486,-9.850877347616915e-05,0.5,30,0.06613902005931929,-0.0018161438123489443,-0.0010563741041739044,0.25,30,45.36310089828256,2.6913819290639367,5.137305561103034,0.5,30,-0.008132461563868628,0.001676088364727081,0.0023221000253789755,1,30,19.294575920918135,-0.30077218788486704,-0.6763560525025731,1.5,30,17.405196532729857,-0.2606713145880484,0.22619232270850986,1.5,30,18.85176215626347,0.5254103898556828,-0.052541038985570054,1.5,30,2463.0,-1726.0,-1973.0,0.25,30,132.67672340669122,-0.0029331307488007496,5.9859811187834566e-05,0.5,30,1.75,1,8,8,0.5326715019425226,30,4,160,3,0.5,True,False,SNR,1,9,763,1,2807,1,125,100,0.2872303414850451,0.21100000000001273
91.0,132.48387500000015,-0.0037625000000218733,-6.87500000253749e-05,0.25,30,132.18443845215424,-0.003549392218644698,0.003028915379928776,1.5,30,132.2815133525038,-0.0024891000089439785,-2.7186979707494174e-05,0.25,30,129.84013994512307,0.00028324390243028574,-0.00027129268292469533,1.5,30,129.66315423753173,-0.014773740519416378,-0.0010762937572792453,0.5,30,0.08135586314192693,-0.0005197701745513483,-0.002748901656970004,0.5,30,35.62555810539869,5.319216217745041,11.24442172131576,1.5,30,-0.0009805827270773088,0.0008409404087314637,0.006533238528978261,0.25,30,34.650940833078906,-2.236514981416306,-11.79209266683544,0.5,30,13.315864670190688,-0.4150526690100449,0.32276986435000055,1.5,30,24.308954495022732,0.8025841867687582,-0.010970323422331063,1,30,2405.0,-105.0,-1104.0,1.5,30,132.23155999999997,-0.003440000000011878,-0.13708926399999655,0.25,30,1.75,1.5,14,8,0.6994733071198097,6,5,0,5,0.6,False,False,SNR,1,9,776,1,2385,1,75,125,0.6460380821321837,0.13900000000001
-3595.0000000000005,130.89926666666653,-0.003599999999977399,-7.777777773299022e-05,0.5,30,130.7177352259507,-0.0018281697868758329,0.022735225950725635,0.5,30,130.76177727742032,-0.0011292833710285777,0.013318438313575598,1,30,128.19625899516927,-0.003305487922688144,7.551207733058618e-05,1,30,128.15170392704147,-0.0038719962585389567,-0.0012211796790495555,1.5,30,0.06789647950501519,-0.0025498044169457723,-0.001636121976836935,1.5,30,44.796944430987395,-0.6740456600181943,1.6607427882509853,0.25,30,-0.007934770868704753,-0.0014779194554809805,0.0003237203554460194,0.25,30,23.035153830908833,0.5123901079935251,0.41832466968683946,0.5,30,15.065434561905915,-0.20631774040753292,0.30201964387348035,1,30,17.318229608938218,0.5520919002317584,0.18479479068228954,0.25,30,728.0,-297.0,-146.0,1.5,30,130.90983414944,-0.004404778560001432,8.98934399913287e-05,1.5,30,1.75,2,12,28,0.21182024410153863,38,3,140,1,0.6,False,False,SNR,1,8,771,1.5,2512,2,100,150,0.4907640162402038,-0.146000000000015
-2270.0,130.84724444444436,-0.0024055555555833052,-0.00043888888893661715,0.5,30,130.69204956571605,-0.011049565716035659,-0.010465400903825639,0.5,30,130.7148582422583,-0.007602892180727849,-0.007106430565158917,1,30,128.15036268357537,-0.0016128574879132884,2.4618357514327727e-05,1,30,128.11511615069148,-0.0021967256764980903,0.0007911141372289876,1.5,30,0.04708676972527999,0.00010629057081656262,-0.0003392383650469566,1.5,30,44.80754890386,-1.0706382156875591,-5.283919157557044,0.25,30,-0.0028017510732176037,7.138275518324064e-05,-0.0007457824757401942,0.25,30,22.36807159903158,-0.7586216614201042,-0.6393129608232933,0.5,30,13.957033057828308,0.27705063705438526,0.9396226000086099,1,30,19.777806516455364,0.6107072710616741,-0.4577280649052362,0.25,30,2777.0,1271.0,1261.0,1.5,30,130.72985408763583,-0.011571011950337606,-0.002079334218535678,1.5,30,1.75,2,12,28,0.21182024410153863,38,3,140,1,0.6,False,False,SNR,1,8,771,1.5,2512,2,100,150,0.4907640162402038,-0.05500000000000682
